twitter,last_name,party,DoF,trump_margin
REPBYRNE,Byrne,Republican,4.350497247084133,29.4
REPMARTHAROBY,Roby,Republican,1.2630344058337937,31.900000000000006
REPMIKEROGERSAL,Rogers,Republican,4.392317422778761,33
REPMOBROOKS,Brooks,Republican,1.8302553241676829,33.400000000000006
REPTERRISEWELL,Sewell,Democrat,-1.6620035364849841,-41.199999999999996
REPRICKCRAWFORD,Crawford,Republican,4.087462841250339,34.8
REPFRENCHHILL,Hill,Republican,3,10.699999999999996
REP_STEVEWOMACK,Womack,Republican,4.321928094887363,31.4
REPWESTERMAN,Westerman,Republican,2.5025852024474387,32.900000000000006
REPKIRKPATRICK,Kirkpatrick,Democrat,-1.231074664436249,-4.899999999999999
REPRAULGRIJALVA,Grijalva,Democrat,-4.608232280044003,-29.9
REPGOSAR,Gosar,Republican,2.722466024471091,40.2
REPANDYBIGGSAZ,Biggs,Republican,6.880195728943098,21.1
REPRUBENGALLEGO,Gallego,Democrat,-3.3075728019102923,-49.199999999999996
REPDLESKO,Lesko,Republican,3.4594316186372973,21.1
REPGREGSTANTON,Stanton,Democrat,-1.3219280948873622,-16.300000000000004
REPLAMALFA,LaMalfa,Republican,2.4594316186372973,19.700000000000003
REPHUFFMAN,Huffman,Democrat,-2.237863830098888,-45.7
REPGARAMENDI,Garamendi,Democrat,-2.0528949484321255,-12.600000000000001
REPTHOMPSON,Thompson,Democrat,0,-44.900000000000006
DORISMATSUI,Matsui,Democrat,-0.8313579644411608,-44.800000000000004
REPBERA,Bera,Democrat,0,-11.399999999999999
REPMCNERNEY,McNerney,Democrat,-1.8730271437422346,-18.6
REPDESAULNIER,DeSaulnier,Democrat,-1.6038405109268454,-48.8
SPEAKERPELOSI,Pelosi,Democrat,0.25701061820602394,-77.5
REPBARBARALEE,Lee,Democrat,-3.522840788813359,-80.60000000000001
REPSPEIER,Speier,Democrat,1.752748591407134,-58.7
REPSWALWELL,Swalwell,Democrat,0.5250665920782109,-45.7
